DeviceSet_TIG4WeldingMachine_DeviceRevision,6079,Variable
DeviceSet_TIG4WeldingMachine_RevisionCounter,6080,Variable
Server_Namespaces_http___Merkle_de_TIG4WeldingMachine__IsNamespaceSubset,6081,Variable
Server_Namespaces_http___Merkle_de_TIG4WeldingMachine__NamespacePublicationDate,6082,Variable
Server_Namespaces_http___Merkle_de_TIG4WeldingMachine__NamespaceUri,6083,Variable
Server_Namespaces_http___Merkle_de_TIG4WeldingMachine__NamespaceVersion,6084,Variable
Server_Namespaces_http___Merkle_de_TIG4WeldingMachine__StaticNodeIdTypes,6085,Variable
Server_Namespaces_http___Merkle_de_TIG4WeldingMachine__StaticNumericNodeIdRange,6086,Variable
Server_Namespaces_http___Merkle_de_TIG4WeldingMachine__StaticStringNodeIdPattern,6087,Variable
WeldingMachineType_ParameterSet_CurrentJob_FillerMaterial,6088,Variable
WeldingMachineType_ParameterSet_CurrentJob_Name,6089,Variable
WeldingMachineType_ParameterSet_CurrentJob_Number,6090,Variable
WeldingMachineType_ParameterSet_CurrentJob_Process,6091,Variable
WeldingMachineType_ParameterSet_CurrentJob_RawData,6092,Variable
WeldingMachineType_ParameterSet_CurrentJob_ShieldingGas,6093,Variable
WeldingMachineType_MethodSet_Activate,7001,Method
WeldingMachineType_MethodSet_Deactivate,7002,Method
WeldingMachineType_MethodSet_SetSimulationMode,7003,Method
WeldingMachineType_MethodSet_SetArc,7004,Method
WeldingMachineType_MethodSet_ReadJob,7005,Method
WeldingMachineType_MethodSet_WriteJob,7006,Method
DeviceSet_TIG4WeldingMachine_MethodSet_Activate,7007,Method
DeviceSet_TIG4WeldingMachine_MethodSet_Deactivate,7008,Method
DeviceSet_TIG4WeldingMachine_MethodSet_ReadJob,7009,Method
DeviceSet_TIG4WeldingMachine_MethodSet_SetArc,7010,Method
DeviceSet_TIG4WeldingMachine_MethodSet_SetSimulationMode,7011,Method
DeviceSet_TIG4WeldingMachine_MethodSet_WriteJob,7012,Method
